Deficit,SNOMEDCT_CONCEPTID,CTV3,Provenance,Codedescription,TimeConstraintyears,AgeLimit,Otherinstructions,new_descriptions
Cancer,188322004,B524000,mar-cancer,"malignant neoplasm of peripheral nerves of head, face & neck",,,,"Malignant neoplasm of peripheral nerves of head, face and neck"
Cancer,188323009,B5241,,"Mal neo per nv up limb, inc sh",,,,"Malignant neoplasm of peripheral nerves of upper limb, including shoulder"
Cancer,188324003,B5242,,"Mal neo per nv low lmb,inc hip",,,,"Malignant neoplasm of peripheral nerves of lower limb, including hip"
Cancer,188325002,B5243,,Malig neopl periph nerv thorax,,,,Malignant neoplasm of peripheral nerve of thorax
Cancer,188326001,B5244,,Malig neopl periph nerve abdom,,,,Malignant neoplasm of peripheral nerve of abdomen
Cancer,188327005,B5245,,Malig neopl periph nerv pelvis,,,,Malignant neoplasm of peripheral nerve of pelvis
Cancer,109919002,B5246,,"Ml neo,ovlap les per nv/aut ns",,,,Overlapping malignant neoplasm of peripheral nerves and autonomic nervous system
Cancer,363477002,B525.00,mar-cancer,malignant neoplasm of cauda equina,,,,Malignant neoplasm of cauda equina
Cancer,109911004,B52W.00,mar-cancer,"malig neopl, overlap lesion brain & other part of cns",,,,Overlapping malignant neoplasm of brain and other parts of the central nervous system
Cancer,363478007,B53..,,Malig neop thyroid gland,,,,Malignant tumor of thyroid gland
Cancer,371982006,B54..,,Malig neop oth endocrine gland,,,,Malignant neoplasm of endocrine gland (disorder)
Cancer,127331007,B54..00,mar-cancer,malig neop of other endocrine glands and related structures,,,,Neoplasm by body site
Cancer,93665005,B540.,,Malig neop adrenal gland,,,,Malignant neoplasm of adrenal gland
Cancer,363355002,B540.00,mar-cancer,malignant neoplasm of adrenal gland,,,,Malignant tumor of adrenal gland
Cancer,302835009,B540.00,mar-cancer,malignant neoplasm of adrenal gland,,,,Phaeochromocytoma
Cancer,371964008,B5400,,Malig neop adrenal cortex,,,,Malignant neoplasm of adrenal cortex (disorder)
Cancer,371965009,B5401,,Malig neop adrenal medulla,,,,Malignant neoplasm of adrenal medulla (disorder)
Cancer,127021009,B540z,,Malig neop adrenal gland NOS,,,,Neoplasm of adrenal gland
Cancer,363481002,B541.,,Parathyroid cancer,,,,Malignant tumour of parathyroid gland
Cancer,188339002,B542.,,Malig neop pit+craniophar duct,,,,Malignant neoplasm of pituitary gland and craniopharyngeal duct
Cancer,363482009,B5420,,Cancer of pituitary gland,,,,Malignant tumor of pituitary gland
Cancer,188340000,B5421,,Malig neop craniophary duct,,,,Malignant tumor of craniopharyngeal duct
Cancer,363483004,B543.,,Malig neop pineal gland,,,,Malignant tumour of pineal gland
Cancer,93740003,B544.,,Malig neop carotid body,,,,Malignant neoplasm of carotid body
Cancer,447883002,B544.00,mar-cancer,malignant neoplasm of carotid body,,,,Malignant neoplasm of carotid body (disorder)
Cancer,127029006,B545.,,Malig neop aort body/paragangl,,,,Neoplasm of aortic body
Cancer,93941005,B545.00,mar-cancer,malignant neoplasm of aortic body and other paraganglia,,,,Malignant neoplasm of paraganglion
Cancer,93814004,B5450,,Malig neop glomus jugulare,,,,Malignant neoplasm of glomus jugulare
Cancer,93677000,B545100,mar-cancer,malignant neoplasm of aortic body,,,,Malignant neoplasm of aortic body
Cancer,93759001,B5452,,Malig neop coccygeal body,,,,Malignant neoplasm of coccygeal body
Cancer,387922007,B54y.00,mar-cancer,malignant neoplasm of other specified endocrine gland,,,,Neoplasm of endocrine gland (disorder)
Cancer,387927001,B54z.00,mar-cancer,malig neop of endocrine gland or related structure nos,,,,Neoplasm of endocrine system (disorder)
Cancer,188353002,B550.,,"Malig neop head, neck and face",,,,"Malignant neoplasm of head, neck and face"
Cancer,255056009,B550000,mar-cancer,malignant neoplasm of head nos,,,,Malignant tumor of head and neck
Cancer,363501002,B5501,,Malig neop cheek NOS,,,,Malignant tumor of face
Cancer,447949005,B550100,mar-cancer,malignant neoplasm of cheek nos,,,,Malignant epithelial neoplasm of cheek (disorder)
Cancer,363489000,B5504,,Malignant neoplasm of neck NOS,,,,Malignant tumour of neck
Cancer,188361007,B551.,,Malignant neoplasm of thorax,,,,Malignant neoplasm of thorax
Cancer,363502009,B551000,mar-cancer,malignant neoplasm of axilla nos,,,,Malignant tumour of axilla
Cancer,712750007,B551100,mar-cancer,malignant neoplasm of chest wall nos,,,,Malignant neoplasm of chest wall
Cancer,188366002,B552.,,Malignant neoplasm of abdomen,,,,Malignant tumor of abdomen
Cancer,363484005,B553.,,Malignant neoplasm of pelvis,,,,Malignant tumor of pelvis
Cancer,93973004,B553100,mar-cancer,malignant neoplasm of presacral region,,,,Malignant neoplasm of presacral region
Cancer,93995000,B5532,,Malig neop sacrococcygeal reg,,,,Malignant neoplasm of sacrococcygeal region
Cancer,363503004,B554.,,Malig neop upper limb NOS,,,,Malignant tumor of upper limb
Cancer,363504005,B555.00,mar-cancer,malignant neoplasm of lower limb nos,,,,Malignant tumour of lower limb
Cancer,94392001,B56..,,Metastasis to lymph node,,,,Secondary malignant neoplasm of lymph node
Cancer,303194003,B560.00,mar-cancer,secondary and unspec malig neop lymph nodes head/face/neck,,,,Metastasis to head and neck lymph node
Cancer,94475009,B5600,,2-malig neop sup parotid LN,,,,Secondary malignant neoplasm of parotid lymph nodes
Cancer,94394000,B5603,,2-malig neop occipital LN,,,,Secondary malignant neoplasm of lymph nodes of head
Cancer,94449005,B560300,mar-cancer,secondary and unspec malignant neoplasm occipital lymph node,,,,Secondary malignant neoplasm of occipital lymph nodes
Cancer,94609005,B560500,mar-cancer,secondary and unspec malig neop submandibular lymph nodes,,,,Secondary malignant neoplasm of submandibular lymph nodes
